DateTime,DATE,TIME,O3,ND,SD,F
2022-01-01,2022-01-01,00:00,12.5,23,2.69,1
2022-01-02,2022-01-02,00:00,13.4,23,1.29,0
2022-01-03,2022-01-03,00:00,12.0,23,0.39,0
2022-01-04,2022-01-04,00:00,12.4,22,0.7,0
2022-01-05,2022-01-05,00:00,12.3,23,4.1,1
2022-01-06,2022-01-06,00:00,11.9,23,2.7,1
2022-01-07,2022-01-07,00:00,11.7,23,3.31,1
2022-01-08,2022-01-08,00:00,13.8,17,1.03,0
2022-01-09,2022-01-09,00:00,12.0,22,1.06,0
2022-01-10,2022-01-10,00:00,12.5,23,1.49,1
2022-01-11,2022-01-11,00:00,11.5,23,1.0,0
2022-01-12,2022-01-12,00:00,13.8,15,0.79,0
2022-01-13,2022-01-13,00:00,11.1,23,2.73,1
2022-01-14,2022-01-14,00:00,13.0,17,0.66,0
2022-01-15,2022-01-15,00:00,9.5,23,3.82,1
2022-01-16,2022-01-16,00:00,11.9,23,1.27,1
2022-01-17,2022-01-17,00:00,11.6,23,0.57,0
2022-01-18,2022-01-18,00:00,11.6,23,0.38,0
2022-01-19,2022-01-19,00:00,13.2,23,0.41,0
2022-01-20,2022-01-20,00:00,10.8,23,5.2,1
2022-01-21,2022-01-21,00:00,12.0,21,1.93,1
2022-01-22,2022-01-22,00:00,12.3,23,1.14,1
2022-01-23,2022-01-23,00:00,11.8,23,1.81,1
2022-01-24,2022-01-24,00:00,13.4,18,0.55,0
2022-01-25,2022-01-25,00:00,13.0,23,1.08,0
2022-01-26,2022-01-26,00:00,12.9,18,1.0,0
2022-01-27,2022-01-27,00:00,10.3,23,0.55,0
2022-01-28,2022-01-28,00:00,8.9,23,1.5,1
2022-01-29,2022-01-29,00:00,11.3,23,2.14,1
2022-01-30,2022-01-30,00:00,13.3,17,0.3,0
2022-01-31,2022-01-31,00:00,15.2,20,0.99,0
2022-02-01,2022-02-01,00:00,12.8,23,0.92,0
2022-02-02,2022-02-02,00:00,14.2,22,0.8,0
2022-02-03,2022-02-03,00:00,13.9,23,0.32,0
2022-02-04,2022-02-04,00:00,14.1,20,0.47,0
2022-02-05,2022-02-05,00:00,12.1,23,3.48,1
2022-02-06,2022-02-06,00:00,10.8,23,4.1,1
2022-02-07,2022-02-07,00:00,13.3,23,4.21,1
2022-02-08,2022-02-08,00:00,16.5,17,2.46,0
2022-02-09,2022-02-09,00:00,11.5,23,2.75,1
2022-02-10,2022-02-10,00:00,14.0,15,1.04,0
2022-02-11,2022-02-11,00:00,14.2,15,0.53,0
2022-02-12,2022-02-12,00:00,14.5,20,1.31,0
2022-02-13,2022-02-13,00:00,11.2,16,2.62,1
2022-02-14,2022-02-14,00:00,-9999999.9,0,-999.99,2
2022-02-15,2022-02-15,00:00,14.4,18,0.68,0
2022-02-16,2022-02-16,00:00,12.0,23,2.42,1
2022-02-17,2022-02-17,00:00,13.3,15,0.68,0
2022-02-18,2022-02-18,00:00,14.5,22,0.98,0
2022-02-19,2022-02-19,00:00,13.7,23,0.28,1
2022-02-20,2022-02-20,00:00,11.9,23,3.55,1
2022-02-21,2022-02-21,00:00,11.2,23,4.33,1
2022-02-22,2022-02-22,00:00,12.9,23,1.57,0
2022-02-23,2022-02-23,00:00,11.0,23,3.85,1
2022-02-24,2022-02-24,00:00,10.4,23,2.17,1
2022-02-25,2022-02-25,00:00,9.6,23,3.53,1
2022-02-26,2022-02-26,00:00,12.4,23,4.53,1
2022-02-27,2022-02-27,00:00,15.5,23,1.08,1
2022-02-28,2022-02-28,00:00,16.3,16,0.98,0
2022-03-01,2022-03-01,00:00,14.0,23,2.94,1
2022-03-02,2022-03-02,00:00,10.2,23,4.11,1
2022-03-03,2022-03-03,00:00,13.9,23,3.43,1
2022-03-04,2022-03-04,00:00,13.4,23,1.89,1
2022-03-05,2022-03-05,00:00,15.0,23,0.41,0
2022-03-06,2022-03-06,00:00,14.3,23,1.22,1
2022-03-07,2022-03-07,00:00,11.9,23,3.2,1
2022-03-08,2022-03-08,00:00,15.2,23,2.77,1
2022-03-09,2022-03-09,00:00,19.0,23,2.54,0
2022-03-10,2022-03-10,00:00,16.0,23,1.87,1
2022-03-11,2022-03-11,00:00,17.1,16,1.65,0
2022-03-12,2022-03-12,00:00,13.4,23,2.79,1
2022-03-13,2022-03-13,00:00,17.3,23,1.1,1
2022-03-14,2022-03-14,00:00,17.6,18,0.49,0
2022-03-15,2022-03-15,00:00,11.4,23,3.23,1
2022-03-16,2022-03-16,00:00,14.8,23,2.04,1
2022-03-17,2022-03-17,00:00,16.9,17,1.58,0
2022-03-18,2022-03-18,00:00,17.7,23,0.43,0
