DateTime,DATE,TIME,O3,ND,SD,F
2022-01-01 00:00:00,2022-01-01,00:00:00,13.84,59.0,0.17,0
2022-01-01 01:00:00,2022-01-01,01:00:00,10.34,60.0,2.65,1
2022-01-01 02:00:00,2022-01-01,02:00:00,6.94,60.0,1.25,1
2022-01-01 03:00:00,2022-01-01,03:00:00,5.64,60.0,1.27,1
2022-01-01 04:00:00,2022-01-01,04:00:00,6.76,60.0,0.84,1
2022-01-01 05:00:00,2022-01-01,05:00:00,10.0,60.0,2.6,1
2022-01-01 06:00:00,2022-01-01,06:00:00,-9999999.9,0.0,-999.99,2
2022-01-01 07:00:00,2022-01-01,07:00:00,12.27,60.0,0.52,1
2022-01-01 08:00:00,2022-01-01,08:00:00,12.9,60.0,0.58,1
2022-01-01 09:00:00,2022-01-01,09:00:00,12.88,60.0,0.57,1
2022-01-01 10:00:00,2022-01-01,10:00:00,13.75,60.0,0.37,1
2022-01-01 11:00:00,2022-01-01,11:00:00,13.91,60.0,0.43,1
2022-01-01 12:00:00,2022-01-01,12:00:00,13.47,60.0,0.47,1
2022-01-01 13:00:00,2022-01-01,13:00:00,13.74,60.0,0.41,1
2022-01-01 14:00:00,2022-01-01,14:00:00,13.83,60.0,0.67,1
2022-01-01 15:00:00,2022-01-01,15:00:00,14.01,60.0,0.28,1
2022-01-01 16:00:00,2022-01-01,16:00:00,14.83,60.0,0.68,1
2022-01-01 17:00:00,2022-01-01,17:00:00,14.81,60.0,0.4,1
2022-01-01 18:00:00,2022-01-01,18:00:00,14.14,60.0,0.88,1
2022-01-01 19:00:00,2022-01-01,19:00:00,13.31,60.0,1.03,1
2022-01-01 20:00:00,2022-01-01,20:00:00,13.61,44.0,0.29,0
2022-01-01 21:00:00,2022-01-01,21:00:00,14.4,60.0,2.72,1
2022-01-01 22:00:00,2022-01-01,22:00:00,14.46,60.0,0.96,1
2022-01-01 23:00:00,2022-01-01,23:00:00,14.1,60.0,0.17,0
2022-01-02 00:00:00,2022-01-02,00:00:00,14.33,58.0,0.61,0
2022-01-02 01:00:00,2022-01-02,01:00:00,15.26,60.0,0.22,0
2022-01-02 02:00:00,2022-01-02,02:00:00,15.41,60.0,0.16,0
2022-01-02 03:00:00,2022-01-02,03:00:00,15.39,60.0,0.21,0
2022-01-02 04:00:00,2022-01-02,04:00:00,15.39,60.0,0.16,0
2022-01-02 05:00:00,2022-01-02,05:00:00,15.13,60.0,0.15,0
2022-01-02 06:00:00,2022-01-02,06:00:00,-9999999.9,0.0,-999.99,2
2022-01-02 07:00:00,2022-01-02,07:00:00,14.17,60.0,0.22,0
2022-01-02 08:00:00,2022-01-02,08:00:00,13.93,59.0,0.25,0
2022-01-02 09:00:00,2022-01-02,09:00:00,13.81,58.0,0.26,0
2022-01-02 10:00:00,2022-01-02,10:00:00,13.66,60.0,0.2,0
2022-01-02 11:00:00,2022-01-02,11:00:00,13.23,60.0,0.3,0
2022-01-02 12:00:00,2022-01-02,12:00:00,12.45,60.0,0.21,0
