DateTime,DATE,TIME,O3,ND,SD,F
2022-01-16 12:00:00,2022-01-16,12:00,12.8,447,1.49,0
2022-02-15 00:00:00,2022-02-15,00:00,14.2,331,1.57,0
2022-03-16 12:00:00,2022-03-16,12:00,18.1,290,2.37,0
2022-04-16 00:00:00,2022-04-16,00:00,23.1,321,2.34,0
2022-05-16 12:00:00,2022-05-16,12:00,28.6,300,2.5,0
2022-06-16 00:00:00,2022-06-16,00:00,31.9,273,1.83,0
2022-07-16 12:00:00,2022-07-16,12:00,33.7,244,2.06,0
2022-08-16 12:00:00,2022-08-16,12:00,30.6,166,2.27,0
2022-09-16 00:00:00,2022-09-16,00:00,30.9,219,1.7,0
2022-10-16 12:00:00,2022-10-16,12:00,26.5,364,2.53,0
2022-11-16 00:00:00,2022-11-16,00:00,20.7,291,2.79,0
2022-12-16 12:00:00,2022-12-16,12:00,15.4,371,1.53,0
